Accident_ID,Date,Time_of_Day,Weather,Road_Condition,Vehicle_Density,Avg_Speed,Driver_Distraction,Traffic_Signal_Status,Vehicles_Involved,Casualties,Claim_Amount,Claim_Severity
4612,2025-08-02 00:00:00,Morning,Clear,Wet,27,61,None,Blinking,2,9,563668,Medium
1790,2024-08-08 00:00:00,Evening,Rain,Wet,91,99,Phone,Working,2,2,399466,Medium
4324,2024-10-04 00:00:00,Afternoon,Clear,Dry,18,87,None,Working,1,0,485162,Low
785,2025-08-29 00:00:00,Morning,Clear,Wet,65,56,None,Blinking,5,9,413233,Medium
4459,2025-11-04 00:00:00,Afternoon,Rain,Wet,56,73,Phone,Working,2,3,840592,Medium
2461,2024-10-10 00:00:00,Night,Clear,Dry,110,58,None,Working,1,6,869861,Medium
954,2024-02-01 00:00:00,Night,Rain,Dry,67,93,None,Working,2,3,185418,Medium
3473,2025-01-18 00:00:00,Evening,Clear,Dry,64,84,None,Working,4,9,451407,High
39,2023-02-04 00:00:00,Evening,Rain,Dry,74,53,Phone,Working,3,9,318880,High
3378,2023-09-17 00:00:00,Morning,Clear,Damaged,115,105,Fatigue,Working,5,7,10301,High
4890,2024-05-02 00:00:00,Evening,Clear,Water-logged,87,111,Other,Not Working,1,1,373819,Medium
4457,2025-12-27 00:00:00,Evening,Clear,Dry,57,55,None,Not Working,4,2,109347,Low
4152,2025-05-13 00:00:00,Morning,Clear,Water-logged,94,76,None,Working,4,4,988522,Medium
585,2024-05-18 00:00:00,Evening,Clear,Dry,76,109,Phone,Working,4,9,625161,High
2481,2024-08-26 00:00:00,Afternoon,Clear,Wet,106,108,Other,Working,4,3,431958,Medium
2106,2025-11-15 00:00:00,Afternoon,Clear,Wet,50,21,Phone,Working,4,7,959447,Medium
3527,2025-12-01 00:00:00,Night,Clear,Wet,103,92,None,Working,5,2,882466,Medium
1156,2025-06-01 00:00:00,Evening,Clear,Dry,65,90,None,Not Working,5,6,219264,Medium
3685,2023-05-10 00:00:00,Evening,Clear,Wet,61,64,None,Working,4,4,350413,Medium
2215,2023-08-03 00:00:00,Evening,Clear,Wet,34,90,None,Blinking,1,3,937989,Medium
3433,2024-03-20 00:00:00,Evening,Clear,Dry,100,106,Fatigue,Working,3,6,626054,High
4438,2025-02-16 00:00:00,Evening,Clear,Dry,51,34,None,Not Working,4,3,770002,Low
4931,2023-04-04 00:00:00,Afternoon,Fog,Dry,31,32,None,Working,5,4,252553,Low
3448,2025-01-24 00:00:00,Evening,Fog,Dry,62,59,None,Working,2,4,436522,Medium
2035,2024-07-21 00:00:00,Evening,Clear,Water-logged,20,38,None,Working,1,5,362797,Low
1532,2023-01-08 00:00:00,Evening,Haze,Dry,17,31,None,Not Working,5,8,385633,Medium
2119,2024-04-15 00:00:00,Morning,Rain,Wet,57,110,Other,Working,2,0,356377,Medium
4652,2025-10-10 00:00:00,Evening,Clear,Dry,39,60,None,Working,3,4,686792,Low
1811,2024-06-23 00:00:00,Evening,Rain,Damaged,101,99,Other,Working,5,0,494302,Medium
90,2024-05-01 00:00:00,Afternoon,Clear,Dry,52,43,Fatigue,Working,2,2,726958,Low
1507,2025-01-26 00:00:00,Evening,Rain,Water-logged,57,104,None,Not Working,4,7,685492,High
4284,2024-09-29 00:00:00,Morning,Clear,Wet,111,48,None,Working,2,2,222009,Medium
781,2024-08-23 00:00:00,Evening,Rain,Damaged,93,51,Phone,Working,2,6,997825,Medium
325,2023-06-23 00:00:00,Night,Clear,Dry,89,52,Fatigue,Working,4,5,799102,Medium
550,2025-01-17 00:00:00,Evening,Clear,Dry,77,112,None,Not Working,3,7,862087,Medium
3631,2023-02-07 00:00:00,Evening,Rain,Dry,101,52,Phone,Working,5,8,746169,High
1553,2025-06-27 00:00:00,Night,Rain,Wet,46,119,None,Working,2,3,573952,Medium
4075,2025-10-02 00:00:00,Evening,Clear,Dry,19,67,None,Not Working,1,3,676845,Low
3308,2025-09-02 00:00:00,Morning,Clear,Water-logged,54,64,Fatigue,Working,2,1,278989,Low
3759,2025-11-25 00:00:00,Afternoon,Clear,Dry,105,33,None,Not Working,2,3,313070,Medium
578,2024-03-21 00:00:00,Night,Haze,Water-logged,96,41,None,Working,2,5,245168,Medium
2470,2024-06-01 00:00:00,Evening,Clear,Wet,40,28,None,Working,4,3,81598,Low
3865,2024-08-25 00:00:00,Morning,Clear,Wet,116,85,None,Not Working,2,0,715105,Medium
1670,2025-02-05 00:00:00,Night,Clear,Dry,77,112,None,Working,4,4,291336,Medium
2523,2024-01-23 00:00:00,Afternoon,Rain,Wet,11,31,Phone,Working,2,0,712578,Low
22,2025-05-06 00:00:00,Morning,Clear,Dry,28,47,None,Working,4,7,883242,Low
2922,2023-06-16 00:00:00,Evening,Rain,Dry,73,81,None,Working,2,0,833324,Medium
1977,2025-04-13 00:00:00,Afternoon,Rain,Dry,67,78,None,Working,4,7,624778,Medium
2214,2023-05-05 00:00:00,Night,Clear,Damaged,105,53,Phone,Not Working,3,2,959349,Medium
3263,2024-05-05 00:00:00,Afternoon,Rain,Wet,24,110,Phone,Not Working,5,9,605908,High
3148,2023-03-09 00:00:00,Evening,Haze,Wet,102,81,Fatigue,Blinking,3,7,86386,High
1858,2023-01-12 00:00:00,Afternoon,Clear,Dry,66,84,None,Working,3,9,934095,High
856,2025-03-19 00:00:00,Morning,Rain,Dry,117,48,None,Working,2,6,224086,Medium
4674,2025-08-05 00:00:00,Morning,Clear,Wet,89,84,Phone,Working,4,2,277270,Medium
1881,2023-09-17 00:00:00,Evening,Rain,Dry,30,96,None,Not Working,5,5,145087,Medium
3163,2025-07-21 00:00:00,Afternoon,Clear,Dry,25,69,None,Not Working,1,0,577763,Low
4553,2023-11-10 00:00:00,Morning,Rain,Wet,57,79,None,Working,1,4,110405,Medium
1207,2023-11-10 00:00:00,Evening,Clear,Wet,43,81,Phone,Working,1,4,314808,Medium
3154,2025-06-08 00:00:00,Afternoon,Haze,Dry,92,22,Phone,Not Working,4,2,350718,Medium
617,2024-04-22 00:00:00,Morning,Fog,Water-logged,105,58,Fatigue,Working,5,0,760020,Medium
1723,2023-12-12 00:00:00,Afternoon,Fog,Dry,94,106,Phone,Working,2,9,944035,High
4408,2024-07-24 00:00:00,Morning,Clear,Wet,42,47,None,Working,4,0,44821,Low
2365,2023-08-04 00:00:00,Evening,Clear,Wet,91,84,Phone,Not Working,5,2,310268,Medium
2842,2023-01-04 00:00:00,Evening,Clear,Dry,74,90,Phone,Working,4,5,494248,Medium
2958,2024-08-23 00:00:00,Night,Fog,Water-logged,63,48,None,Working,1,0,236765,Low
788,2023-09-13 00:00:00,Afternoon,Fog,Dry,26,37,Phone,Working,3,6,400140,Medium
2610,2024-09-26 00:00:00,Morning,Clear,Water-logged,84,62,Fatigue,Not Working,2,1,914211,Medium
1732,2025-02-12 00:00:00,Evening,Clear,Dry,103,117,Phone,Working,3,9,891716,High
759,2024-05-24 00:00:00,Night,Clear,Dry,25,90,Other,Not Working,4,9,795889,Medium
3081,2023-04-20 00:00:00,Evening,Clear,Dry,19,100,Phone,Working,5,2,683759,Medium
2296,2024-12-11 00:00:00,Morning,Haze,Water-logged,82,92,Phone,Working,5,6,606607,High
1245,2025-09-20 00:00:00,Evening,Rain,Dry,97,104,Other,Working,4,5,263665,High
2751,2023-07-10 00:00:00,Afternoon,Clear,Dry,87,106,Other,Working,4,4,421159,Medium
4756,2025-11-27 00:00:00,Night,Clear,Wet,45,24,Other,Working,2,6,279275,Medium
1613,2024-12-17 00:00:00,Evening,Clear,Dry,110,41,None,Working,2,9,803005,Medium
203,2024-03-10 00:00:00,Morning,Rain,Dry,95,71,Fatigue,Working,2,1,322145,Medium
1966,2025-12-11 00:00:00,Evening,Clear,Dry,63,34,None,Blinking,4,1,586678,Low
4575,2024-07-10 00:00:00,Evening,Clear,Dry,79,110,None,Working,2,7,241850,High
644,2023-07-11 00:00:00,Afternoon,Clear,Water-logged,108,61,None,Working,1,8,565513,High
4089,2025-03-23 00:00:00,Night,Clear,Dry,41,114,None,Not Working,2,5,77404,Medium
4790,2025-05-06 00:00:00,Afternoon,Clear,Water-logged,104,95,None,Not Working,1,0,346772,Medium
3895,2025-10-26 00:00:00,Evening,Clear,Dry,46,53,None,Working,4,5,38754,Medium
4574,2024-11-11 00:00:00,Evening,Clear,Water-logged,102,102,None,Not Working,1,8,350754,Medium
2678,2025-12-03 00:00:00,Morning,Haze,Wet,63,94,None,Working,2,9,169445,High
2653,2024-01-20 00:00:00,Afternoon,Clear,Dry,53,27,None,Working,4,3,894531,Low
841,2024-02-23 00:00:00,Morning,Clear,Water-logged,75,104,Phone,Working,2,5,588489,Medium
103,2024-06-26 00:00:00,Afternoon,Rain,Damaged,76,38,None,Working,5,2,92087,Low
1146,2023-01-02 00:00:00,Night,Clear,Wet,117,72,Phone,Working,4,2,880861,Medium
391,2024-06-24 00:00:00,Night,Clear,Water-logged,25,49,Other,Working,4,4,269934,Medium
394,2024-04-07 00:00:00,Evening,Rain,Dry,92,85,None,Working,3,9,49449,High
415,2025-08-29 00:00:00,Evening,Clear,Water-logged,42,32,Other,Working,3,7,870929,Low
2591,2023-06-28 00:00:00,Night,Clear,Water-logged,81,29,Phone,Blinking,2,9,905922,Medium
4471,2024-07-05 00:00:00,Night,Clear,Water-logged,10,66,None,Working,3,9,897408,Medium
2726,2024-03-04 00:00:00,Afternoon,Clear,Water-logged,106,24,None,Working,2,9,46834,Medium
1590,2024-04-05 00:00:00,Evening,Rain,Wet,45,117,None,Blinking,4,7,675641,High
3170,2024-03-19 00:00:00,Afternoon,Clear,Wet,30,86,None,Working,5,4,679020,Medium
4244,2023-02-19 00:00:00,Afternoon,Rain,Dry,57,42,Phone,Working,2,7,823933,Medium
1431,2025-07-04 00:00:00,Afternoon,Rain,Dry,115,115,Phone,Working,5,5,671321,High
1212,2024-10-03 00:00:00,Afternoon,Clear,Wet,20,98,Phone,Working,5,3,961932,Medium
379,2025-03-31 00:00:00,Night,Fog,Wet,71,24,Other,Working,4,2,941436,Medium
4598,2025-12-01 00:00:00,Morning,Clear,Damaged,43,60,None,Blinking,5,3,483242,Low
4958,2023-06-11 00:00:00,Evening,Rain,Wet,102,96,Fatigue,Blinking,3,7,116829,High
2731,2025-12-16 00:00:00,Evening,Clear,Dry,112,26,Phone,Not Working,4,8,962352,Medium
1562,2025-01-17 00:00:00,Morning,Clear,Dry,97,62,None,Working,3,2,741832,Medium
1010,2023-03-29 00:00:00,Afternoon,Clear,Dry,100,52,Fatigue,Not Working,4,8,175441,Medium
3984,2025-06-25 00:00:00,Morning,Rain,Dry,51,55,Phone,Not Working,4,7,416266,Medium
1463,2025-02-04 00:00:00,Morning,Haze,Wet,90,31,None,Not Working,1,7,669758,Medium
944,2023-02-15 00:00:00,Night,Fog,Dry,44,31,Fatigue,Working,5,8,406930,Medium
2763,2023-08-15 00:00:00,Evening,Clear,Dry,45,98,None,Blinking,4,9,312147,Medium
1710,2023-07-14 00:00:00,Evening,Haze,Dry,26,37,None,Working,3,1,65849,Low
2935,2024-12-16 00:00:00,Evening,Clear,Wet,107,50,None,Working,1,9,888941,Medium
3972,2025-07-30 00:00:00,Evening,Rain,Dry,59,77,None,Working,4,3,834377,Medium
2562,2024-03-28 00:00:00,Evening,Rain,Dry,91,66,None,Working,5,3,429977,Medium
4969,2024-10-17 00:00:00,Night,Rain,Dry,61,90,None,Working,5,7,58760,High
704,2023-11-25 00:00:00,Morning,Clear,Damaged,42,30,None,Working,4,7,505038,Medium
1484,2023-02-09 00:00:00,Morning,Clear,Dry,106,73,None,Blinking,1,0,822320,Medium
2369,2024-03-30 00:00:00,Afternoon,Clear,Dry,106,114,Fatigue,Working,4,4,352702,High
3607,2025-05-19 00:00:00,Night,Rain,Dry,69,39,None,Working,5,9,583357,Medium
996,2023-07-24 00:00:00,Morning,Rain,Dry,113,116,None,Working,4,7,371452,High
4939,2023-10-16 00:00:00,Evening,Fog,Dry,11,80,Phone,Not Working,3,8,945864,Medium
910,2025-02-17 00:00:00,Afternoon,Clear,Dry,109,28,Fatigue,Not Working,5,1,336231,Low
858,2024-11-05 00:00:00,Afternoon,Clear,Dry,118,101,Fatigue,Working,3,0,23449,Medium
4409,2023-06-05 00:00:00,Afternoon,Clear,Wet,28,41,None,Working,3,8,923993,Low
2687,2023-10-02 00:00:00,Morning,Rain,Wet,50,50,Phone,Working,3,5,107047,Medium
3007,2024-04-30 00:00:00,Night,Rain,Damaged,38,28,Other,Working,2,2,291173,Low
4044,2023-06-03 00:00:00,Evening,Clear,Dry,117,73,Phone,Working,3,5,300207,Medium
328,2023-05-29 00:00:00,Evening,Clear,Dry,112,43,None,Not Working,3,4,269810,Medium
3787,2025-11-25 00:00:00,Evening,Clear,Wet,32,36,Phone,Not Working,4,5,919799,Low
2055,2024-05-06 00:00:00,Night,Clear,Wet,109,87,None,Not Working,5,8,776132,Medium
3646,2024-03-29 00:00:00,Morning,Clear,Wet,118,30,None,Blinking,1,5,779596,Medium
2242,2025-04-15 00:00:00,Morning,Haze,Dry,82,93,None,Working,2,9,873228,High
695,2025-12-15 00:00:00,Morning,Rain,Water-logged,36,76,None,Not Working,4,4,101447,Medium
3226,2023-11-26 00:00:00,Night,Rain,Dry,26,85,Fatigue,Working,3,9,584073,Medium
2753,2024-09-14 00:00:00,Afternoon,Clear,Dry,36,49,None,Working,4,7,88292,Medium
4482,2024-07-22 00:00:00,Afternoon,Clear,Dry,103,86,None,Not Working,2,2,62669,Medium
1206,2024-03-24 00:00:00,Evening,Haze,Water-logged,76,40,None,Working,5,3,329035,Medium
565,2025-01-27 00:00:00,Afternoon,Haze,Dry,27,62,Phone,Working,2,6,688566,Medium
1556,2024-11-05 00:00:00,Morning,Rain,Dry,55,54,Phone,Working,1,2,157241,Medium
4902,2024-09-05 00:00:00,Afternoon,Clear,Dry,50,84,None,Blinking,1,2,99079,Low
4151,2024-10-22 00:00:00,Morning,Clear,Wet,11,103,Fatigue,Working,2,2,409954,Low
4114,2025-09-21 00:00:00,Morning,Clear,Dry,10,55,Other,Not Working,5,6,931043,Medium
2584,2023-02-05 00:00:00,Afternoon,Clear,Wet,100,81,None,Working,5,6,73664,Medium
2005,2025-08-27 00:00:00,Afternoon,Clear,Dry,41,97,None,Working,5,5,821858,Medium
2634,2023-02-11 00:00:00,Morning,Haze,Dry,56,69,Phone,Working,3,7,212478,Medium
1387,2025-11-02 00:00:00,Evening,Rain,Dry,105,73,Phone,Working,4,5,305047,High
3983,2023-05-09 00:00:00,Morning,Rain,Dry,105,37,Phone,Working,5,1,755707,Medium
2570,2025-01-17 00:00:00,Night,Clear,Dry,60,49,None,Working,2,7,179291,Low
2041,2023-07-16 00:00:00,Night,Rain,Wet,67,50,None,Working,4,5,868155,Medium
4271,2025-11-11 00:00:00,Evening,Clear,Dry,55,32,Fatigue,Not Working,2,4,971620,Medium
4914,2023-06-26 00:00:00,Morning,Rain,Wet,90,46,Phone,Working,1,8,33421,Medium
649,2025-10-08 00:00:00,Evening,Rain,Damaged,88,38,None,Working,4,0,294580,Low
4063,2024-11-18 00:00:00,Evening,Rain,Dry,47,89,None,Working,3,2,740095,Medium
2387,2023-03-08 00:00:00,Afternoon,Clear,Wet,39,53,None,Working,2,1,221207,Low
3785,2023-12-19 00:00:00,Night,Rain,Dry,79,82,Phone,Working,2,9,172143,High
2693,2025-12-08 00:00:00,Morning,Clear,Dry,115,55,Phone,Working,5,7,589777,High
1741,2024-09-19 00:00:00,Night,Clear,Dry,110,71,None,Working,1,3,333827,Medium
133,2024-11-21 00:00:00,Morning,Clear,Wet,89,42,None,Not Working,1,6,612464,Medium
4069,2025-09-01 00:00:00,Evening,Clear,Wet,82,116,Fatigue,Working,2,3,863888,Medium
595,2024-05-05 00:00:00,Night,Clear,Water-logged,44,30,Other,Working,1,9,830862,Medium
1396,2024-07-04 00:00:00,Night,Clear,Dry,110,46,None,Not Working,1,1,614366,Low
4626,2024-04-04 00:00:00,Evening,Clear,Dry,108,53,None,Not Working,4,4,368118,Medium
2123,2025-10-06 00:00:00,Night,Clear,Dry,114,97,None,Working,3,1,772416,Medium
3073,2024-10-05 00:00:00,Afternoon,Rain,Dry,59,48,Phone,Working,2,3,689818,Medium
3447,2023-02-08 00:00:00,Night,Rain,Dry,87,98,None,Blinking,3,3,627642,High
3934,2024-01-09 00:00:00,Morning,Rain,Damaged,89,35,Other,Working,4,3,584382,Medium
1841,2023-05-19 00:00:00,Afternoon,Haze,Dry,94,89,None,Working,5,2,47030,Medium
722,2024-09-30 00:00:00,Morning,Clear,Dry,92,108,Phone,Blinking,3,7,329492,High
2257,2024-04-21 00:00:00,Evening,Clear,Dry,116,100,Other,Working,5,0,277649,Medium
4566,2025-08-12 00:00:00,Night,Clear,Dry,117,103,Phone,Working,2,6,950780,Medium
485,2024-03-25 00:00:00,Evening,Rain,Dry,67,32,None,Working,1,7,986521,Medium
3674,2025-06-15 00:00:00,Morning,Clear,Dry,72,100,Phone,Working,5,0,203138,Medium
4097,2024-10-20 00:00:00,Morning,Clear,Dry,30,108,None,Working,2,4,779107,Medium
117,2025-07-03 00:00:00,Night,Clear,Dry,97,23,Phone,Not Working,4,5,168925,Medium
2576,2025-10-31 00:00:00,Evening,Clear,Dry,47,28,Phone,Working,1,7,558986,Medium
1560,2023-07-09 00:00:00,Night,Haze,Wet,14,37,Fatigue,Working,3,8,410915,Medium
238,2023-10-22 00:00:00,Morning,Rain,Dry,80,75,None,Working,4,4,553180,Medium
3232,2025-04-22 00:00:00,Evening,Clear,Dry,111,36,Phone,Not Working,4,3,218360,Medium
701,2023-06-06 00:00:00,Evening,Clear,Dry,55,46,None,Working,5,3,512826,Low
313,2024-09-05 00:00:00,Morning,Haze,Damaged,105,40,Phone,Not Working,5,0,592460,Medium
575,2024-09-15 00:00:00,Night,Rain,Water-logged,90,21,Fatigue,Working,3,0,802053,Medium
596,2023-08-25 00:00:00,Afternoon,Clear,Wet,96,51,Other,Working,5,8,843932,Medium
1575,2023-07-31 00:00:00,Morning,Clear,Wet,27,24,None,Working,4,1,257022,Low
3103,2023-08-05 00:00:00,Night,Clear,Dry,102,30,Phone,Working,3,2,182997,Low
1018,2023-03-09 00:00:00,Evening,Clear,Water-logged,98,51,Fatigue,Working,4,0,518815,Medium
3455,2023-08-12 00:00:00,Night,Haze,Dry,107,29,Fatigue,Working,3,6,572965,Medium
4819,2024-11-06 00:00:00,Night,Clear,Dry,70,71,None,Working,5,7,971559,Medium
3629,2023-07-31 00:00:00,Evening,Clear,Water-logged,57,69,None,Working,1,2,970197,Low
1958,2025-06-17 00:00:00,Afternoon,Rain,Damaged,108,47,None,Not Working,3,0,130362,Medium
2052,2023-07-19 00:00:00,Afternoon,Clear,Dry,101,117,None,Working,1,8,559429,Medium
1015,2024-01-14 00:00:00,Evening,Clear,Water-logged,42,66,None,Working,3,1,649026,Low
4578,2025-06-18 00:00:00,Morning,Rain,Dry,82,117,None,Working,5,0,728449,Medium
1511,2025-10-19 00:00:00,Night,Clear,Dry,117,27,None,Working,4,5,704797,Low
1389,2023-04-25 00:00:00,Night,Clear,Damaged,12,56,Phone,Not Working,4,7,869420,Medium
358,2025-04-22 00:00:00,Evening,Haze,Dry,94,85,None,Working,2,1,961344,Medium
1258,2023-08-18 00:00:00,Afternoon,Rain,Dry,34,114,Phone,Blinking,4,6,925429,High
1218,2024-09-26 00:00:00,Evening,Clear,Wet,63,113,Phone,Working,5,8,619399,High
1413,2024-01-11 00:00:00,Afternoon,Fog,Dry,34,117,Fatigue,Working,5,9,712615,High
1926,2024-08-29 00:00:00,Morning,Clear,Water-logged,49,33,None,Working,5,2,33878,Low
3465,2023-04-14 00:00:00,Morning,Haze,Wet,53,25,None,Blinking,5,7,882198,Medium
3439,2023-02-11 00:00:00,Night,Rain,Water-logged,87,78,Fatigue,Working,5,1,573148,Medium
729,2024-02-27 00:00:00,Morning,Clear,Dry,59,45,Other,Working,1,9,592072,Medium
3014,2025-01-30 00:00:00,Afternoon,Clear,Dry,14,112,None,Not Working,2,6,617214,Medium
1044,2024-09-07 00:00:00,Evening,Clear,Wet,11,58,Phone,Working,5,1,453930,Low
774,2023-04-30 00:00:00,Afternoon,Rain,Dry,57,31,Phone,Working,3,9,445398,Medium
2168,2024-06-25 00:00:00,Morning,Clear,Wet,31,75,None,Working,1,3,598332,Medium
1047,2023-07-26 00:00:00,Morning,Clear,Dry,103,29,None,Working,4,4,710276,Low
2544,2025-10-22 00:00:00,Evening,Haze,Dry,37,35,Fatigue,Working,4,7,811753,Medium
4293,2024-04-11 00:00:00,Evening,Clear,Dry,89,73,Fatigue,Blinking,2,2,873950,Medium
895,2025-05-10 00:00:00,Evening,Clear,Wet,98,111,None,Working,2,8,308424,High
3130,2024-06-15 00:00:00,Night,Clear,Dry,90,36,Fatigue,Working,1,9,279740,Medium
1929,2023-10-07 00:00:00,Evening,Rain,Dry,39,100,Fatigue,Working,4,3,216203,Medium
2124,2025-12-10 00:00:00,Afternoon,Fog,Damaged,96,34,Phone,Working,5,0,591182,Medium
4206,2023-02-01 00:00:00,Afternoon,Clear,Wet,21,39,Phone,Working,3,7,737680,Medium
